;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ПРАЙС-ЛИСТ НА 08.11.2021;;;;;;;;;;
МОСКВА- тел.+7(495)956-78-25, e-mail: fedor12volt@mail.ru;;;;;;;;;;
САНКТ-ПЕТЕРБУРГ- тел.+7(812)337-13-75, e-mail :alex12v@bk.ru;;;;;;;;;;
;Упаковка;Опт, руб.;РРЦ / INTERNET;Заказ,    шт.;Поступления                              Изменение цены;ССЫЛКА ;;;;
STARLINE SL-5 (Электропривод дверей 5-проводный);50 шт.;215.00р.;280.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/2105/;;;;
STARLINE SL-2-24V;50 шт.;215.00р.;280.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/2106/;;;;
STARLINE SL-5-24V;50 шт.;230.00р.;295.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4216/;;;;
РАЗЪЕМЫ/ КОНВЕРТЕРЫ ;;;;;;;;;;
AURA  AWH-0101  Евроразъём ISO (папа);1 шт.;70.00р.;100.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5476/;;;;
AURA  AWH-0104  ответная часть к ISO-коннектору  - переходник (мама);1 шт.;70.00р.;100.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5477/;;;;
AURA  ANC-DF01 ANT-1  антенный переходник ;1 шт.;200.00р.;350.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5478/;;;;
Конвертор уровня AURA RHL-2202 на 2 канала;1 шт.;320.00р.;455.00р.;;Ожидается !!!;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5479/;;;;
Конвертор уровня AURA RHL-0602 на 2 канала;1 шт.;430.00р.;600.00р.;;Ожидается !!!;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5480/;;;;
Конвертор уровня AURA RHL-0604 на 2 канала;1 шт.;700.00р.;970.00р.;;;;;;;
INCAR  ISO ANT-9 антенный переходник ;10 шт.;35.00р.;100.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2534/;;;;
INCAR ISO ANT-3 VW антенный переходник ;1 шт.;330.00р.;530.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2466/;;;;
INCAR ISO ANT-11 антенный переходник ;1 шт.;195.00р.;225.00р.;;;;;;;
INCAR ISO ANT-15 антенный переходник ;1 шт.;485.00р.;580.00р.;;;;;;;
INCAR ISO FO-05;1 шт.;175.00р.;215.00р.;;;;;;;
INCAR ISO FO-11;1 шт.;280.00р.;380.00р.;;;;;;;
INCAR ISO-разъем KIA HY-04 2016+;1 шт.;280.00р.;380.00р.;;;http://www.master12volt.ru/products/intro/2187/;;;;
INCAR  ISO-разъем RENO FR-12;1 шт.;270.00р.;370.00р.;;;http://www.master12volt.ru/products/intro/2188/;;;;
Конвертер MOREL MPS-HL;1 шт.;900.00р.;1,190.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/3908/;;;;
Регулятор баса MOREL MPS-R1;1 шт.;1,090.00р.;1,450.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/3909/;;;;
INCAR RFR-N916 (набор для покдлючения фронтальной акустики LADA VESTA, RENO,NISSAN);1 шт.;700.00р.;940.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2676/;;;;
INCAR RFR-N917 (набор для покдлючения тыловой  акустики LADA VESTA, RENO, NISSAN);1 шт.;700.00р.;940.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2677/;;;;
 Реле,колодка,колодка под предохранитель ;;;;;;;;;;
Колодка под Реле STARLINE;50 шт.;90.00р.;100.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2277/;;;;
Реле 5-контактное  SL 5C12V, с держателем 12В;50 шт.;121.00р.;126.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2468/;;;;
Колодка предохранителя AurA  FHT-1400  ATC + предохранитель 15A,  с проводом 2.5мм2;200 шт.;50.00р.;80.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4957/;;;;
Колодка предохранителя AurA |FHT-1600  ATC + предохранитель 20A,  с проводом 4мм2;200 шт.;60.00р.;90.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4958/;;;;
Расходные материалы;;;;;;;;;;
ИЗОЛЕНТА / СКОТЧ ;;;;;;;;;;
Изолента AVALON 19*25 (виниловая, черная);250 шт.;70.00р.;150.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2278/;;;;
Изолента AVALON 19*25 (тканевая, черная);120 шт.;300.00р.;500.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3778/;;;;
Изолента AVALON 19*25 (флисовая, черная);90 шт.;300.00р.;500.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3779/;;;;
Скотч двусторонний AurA ZTC-A115G акриловая клейкая лента, серая, 0.8 mm x 15mm x 5m;10 шт.;170.00р.;230.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5295/;;;;
Скотч двусторонний AurA ZTC-A215T акриловая клейкая лента, прозрачная, 0.8 mm x 15mm x 5m;10 шт.;170.00р.;230.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5296/;;;;
Скотч двусторонний AurA ZTC-E155F EVA клейкая лента, серая, 1.0 mm x 15mm x 5m ;10 шт.;40.00р.;60.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5297/;;;;
Скотч двусторонний AurA ZTC-E205F EVA клейкая лента, серая, 1.0 mm x 20mm x 5m ;10 шт.;60.00р.;80.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5298/;;;;
Скотч двусторонний AurA ZTC-E505F EVA клейкая лента, серая, 1.0 mm x 50mm x 5m ;10 шт.;120.00р.;150.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5299/;;;;
 Тюбинг(гофрированная труба);;;;;;;;;;
DKC- 4.6 (1/100m) ;100 м;775.00р.;990.00р.;;;http://www.master12volt.ru/products/dkc/2203/;;;;
DKC- 6.8 (1/50 m) ;50 м;450.00р.;590.00р.;;;http://www.master12volt.ru/products/dkc/2204/;;;;
DKC- 8.5 (1/50 m) ;50 м;590.00р.;790.00р.;;;http://www.master12volt.ru/products/dkc/2511/;;;;
DKC- 9.8 (1/50 m) ;50 м;610.00р.;790.00р.;;;http://www.master12volt.ru/products/dkc/2205/;;;;
DKC-11.5 (1/50 m) ;50 м;720.00р.;990.00р.;;;;;;;
DKC-12.7 (1/50 m) ;50 м;750.00р.;990.00р.;;;http://www.master12volt.ru/products/dkc/2206/;;;;
DKC-13.9 (1/50 m) ;50 м;850.00р.;1,190.00р.;;;;;;;
DKC-17 (1/50 m) ;50 м;1,050.00р.;1,290.00р.;;;http://www.master12volt.ru/products/dkc/2207/;;;;
DKC-19.2 (1/50 m) ;50 м ;1,210.00р.;1,590.00р.;;;http://www.master12volt.ru/products/dkc/2208/;;;;
DKC-23.5 (1/50 m) ;50 м;1,690.00р.;2,190.00р.;;;http://www.master12volt.ru/products/dkc/2209/;;;;
DKC-25.8 (1/30 m) ;30 м;1,100.00р.;1,390.00р.;;;http://www.master12volt.ru/products/dkc/2210/;;;;
DKC-28.3 (1/25 m) ;25 м;1,110.00р.;1,390.00р.;;;;;;;
 Хомуты;;;;;;;;;;
DKC 3.6x140mm (1/100)     ;100 шт.;165.00р.;210.00р.;;;http://www.master12volt.ru/products/dkc/2212/;;;;
DKC 3.6x200mm (1/100)    ;100 шт.;245.00р.;315.00р.;;;http://www.master12volt.ru/products/dkc/2213/;;;;
DKC 3.6x290mm (1/100)     ;100 шт.;385.00р.;495.00р.;;;http://www.master12volt.ru/products/dkc/2214/;;;;
DKC 3.6x370mm (1/100)     ;100 шт.;540.00р.;695.00р.;;;http://www.master12volt.ru/products/dkc/2215/;;;;
Ural CT150MM (цена указана за упаковку: 50 шт.);50 шт.;80.00р.;120.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3350/;;;;
Ural CT200MM (цена указана за упаковку: 50 шт.);50 шт.;120.00р.;180.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3351/;;;;
Модули управления стеклоподъемниками ;;;;;;;;;;
PWM 102 (на 2 стекла);50 шт.;800.00р.;1,000.00р.;;На складе!!!;http://www.master12volt.ru/products/moduli-upravleniya/2841/;;;;
PWM 104 (на 4 стекла);50 шт.;1,000.00р.;1,500.00р.;;ОЖИДАЕТСЯ!!!;http://www.master12volt.ru/products/moduli-upravleniya/2842/;;;;
Стеклоподъемники ;;;;;;;;;;
ГРАНАТ ВАЗ 2109/99/14/15 / ВОЛГА  3110 ;1 шт.;3,950.00р.;4,750.00р.;;;http://www.master12volt.ru/products/steklopodemniki/411/;;;;
ГРАНАТ ВАЗ 2104/05/07;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/403/;;;;
ГРАНАТ ВАЗ 2108/2113;1 шт.;3,950.00р.;4,750.00р.;;;http://www.master12volt.ru/products/steklopodemniki/407/;;;;
ГРАНАТ ВАЗ 2109/99/14/15 ;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/409/;;;;
ГРАНАТ ВАЗ 2110/11/12/2170 ПРИОРА ;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/413/;;;;
ГРАНАТ ВАЗ 1118   КАЛИНА/GRANTA    ;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/414/;;;;
ГРАНАТ  НИВА 21213;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/394/;;;;
ГРАНАТ  NIVA Chevrolet;1 шт.;3,950.00р.;4,750.00р.;;;http://www.master12volt.ru/products/steklopodemniki/395/;;;;
ГРАНАТ MATIZ;1 шт.;3,950.00р.;4,750.00р.;;Суперпредложение-узнавайте у менеджеров!!!;http://www.master12volt.ru/products/steklopodemniki/399/;;;;
ГРАНАТ NEXIA;1 шт.;3,950.00р.;4,750.00р.;;;http://www.master12volt.ru/products/steklopodemniki/400/;;;;
ГРАНАТ ГАЗЕЛЬ 3302;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/408/;;;;
ГРАНАТ СОЛЯРИС;1 шт.;3,950.00р.;4,750.00р.;;;http://www.master12volt.ru/products/steklopodemniki/2115/;;;;
ГРАНАТ LOGAN  с 2014 года  ;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/402/;;;;
ГРАНАТ LOGAN/SANDERO/DUSTER;1 шт.;3,700.00р.;4,500.00р.;;;http://www.master12volt.ru/products/steklopodemniki/3645/;;;;
Механические противоугонные устройства;;;;;;;;;;
STARLINE  L 11 Замок капота;20 шт.;2,700.00р.;4,140.00р.;;;http://www.master12volt.ru/products/mekhanicheskie-protivougonnye-sredstva/2108/;;;;
STARLINE  L 11 + Замок капота;20 шт.;3,300.00р.;4,750.00р.;;;http://www.master12volt.ru/products/mekhanicheskie-protivougonnye-sredstva/2109/;;;;
STARLINE  LD 12 Замок капота;20 шт.;3,800.00р.;5,700.00р.;;;http://www.master12volt.ru/products/mekhanicheskie-protivougonnye-sredstva/4889/;;;;
STARLINE  L21 Замок капота;20 шт.;3,650.00р.;5,350.00р.;;;http://www.master12volt.ru/products/mekhanicheskie-protivougonnye-sredstva/4890/;;;;
STARLINE  ТL 1 Электрический замок отпирания багажника;10 шт.;980.00р.;1,260.00р.;;;http://www.master12volt.ru/products/mekhanicheskie-protivougonnye-sredstva/2281/;;;;
Шумоизоляция ;;;;;;;;;;
AURA VDM FIREBALL-M1;30  лист;85.00р.;130.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3947/;;;;
AURA VDM FIREBALL-M2;20  лист;100.00р.;150.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3948/;;;;
AURA VDM FIREBALL-M3;15  лист;125.00р.;190.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3949/;;;;
AURA VDM FIREBALL-M4;10  лист;155.00р.;220.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5159/;;;;
AURA VDM INDIGO -A2;10  лист;245.00р.;350.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5441/;;;;
AURA VDM INDIGO -A3;5  лист;290.00р.;415.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5442/;;;;
AURA VDM INDIGO -G2;10  лист;205.00р.;295.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5443/;;;;
AURA VDM INDIGO -G3;5  лист;240.00р.;345.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5444/;;;;
AURA VDM-STANDART-M1;10  лист;120.00р.;190.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3951/;;;;
AURA VDM-STANDART-M2;10  лист;140.00р.;215.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3952/;;;;
AURA VDM-STANDART-M3;10  лист;160.00р.;240.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3953/;;;;
AURA VDM-STANDART-M4;10  лист;215.00р.;320.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3954/;;;;
AURA VDM STORM-M1;15  лист;118.00р.;170.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5445/;;;;
AURA VDM STORM-M2;10  лист;129.00р.;185.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5446/;;;;
AURA VDM STORM-M3;8  лист;169.00р.;245.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5447/;;;;
AURA VDM STORM-M4;5  лист;221.00р.;315.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5448/;;;;
Изолонтейп ППЭ 4008;20  лист;210.00р.;255.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3980/;;;;
Изолонтейп ППЭ 4004;30  лист;125.00р.;150.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3981/;;;;
AURA VDM-M1.01 за пачку (10 листов);пачка;377.00р.;505.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3976/;;;;
AURA VDM-M2.01 за пачку (8 листов);пачка;355.00р.;474.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3977/;;;;0
AURA VDM-M3.01 за пачку (6 листов);пачка;345.00р.;464.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3978/;;;;
AURA VDM-M4.01 за пачку (4 листа);пачка;275.00р.;370.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3979/;;;;
VDM-BT05;10  лист;245.00р.;320.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3975/;;;;
VDM-BT10;10  лист;355.00р.;485.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3974/;;;;
VDM-SP04;10  лист;190.00р.;240.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3973/;;;;
VDM-SP08;10  лист;290.00р.;375.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3972/;;;;
VDM-MN01;10  лист;220.00р.;295.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3971/;;;;
VDM-LK04;10  лист;180.00р.;260.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3970/;;;;
VDM-LK08;10  лист;265.00р.;360.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3969/;;;;
VDM-DW15;10  лист;360.00р.;490.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3967/;;;;
VDM-US05;10  лист;275.00р.;350.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3966/;;;;
VDM-US10;10  лист;415.00р.;480.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3965/;;;;
VDM-FT10;10  лист;210.00р.;285.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3964/;;;;
VDM-AC8;10  лист;230.00р.;320.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5160/;;;;
VDM-AC10;10  лист;250.00р.;350.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3963/;;;;
VDM-SPORT M3;10  лист;210.00р.;310.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3960/;;;;
VDM-SPORT M4;10  лист;235.00р.;360.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3961/;;;;
VDM-SPORT;5  лист;290.00р.;425.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5169/;;;;
VDM-SPORT PRO;5  лист;310.00р.;455.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5170/;;;;
VDM-SPORT UNLIMITED;5  лист;365.00р.;515.00р.;;;http://www.master12volt.ru/products/shumoizolyatsiya/3957/;;;;
Компрессора;;;;;;;;;;
КОМПРЕССОР  BERKUT R-14 ;8 шт.;3,400.00р.;3,990.00р.;;;http://www.master12volt.ru/products/kompressory/1998/;;;;
КОМПРЕССОР  BERKUT R-15   ;4 шт.;4,000.00р.;4,990.00р.;;;http://www.master12volt.ru/products/kompressory/434/;;;;
КОМПРЕССОР  BERKUT R-17  ;4 шт.;5,800.00р.;6,900.00р.;;;http://www.master12volt.ru/products/kompressory/1169/;;;;
КОМПРЕССОР  BERKUT  R-20 ;2 шт.;9,390.00р.;10,290.00р.;;;http://www.master12volt.ru/products/kompressory/1170/;;;;
КОМПРЕССОР  BERKUT  R-24 ;2 шт.;13,615.00р.;15,250.00р.;;;http://www.master12volt.ru/products/kompressory/1171/;;;;
КОМПРЕССОР  BERKUT  PRO-17;6 шт.;5,170.00р.;5,750.00р.;;;http://www.master12volt.ru/products/kompressory/1999/;;;;
КОМПРЕССОР  BERKUT  PRO-20;4 шт.;10,970.00р.;12,750.00р.;;;http://www.master12volt.ru/products/kompressory/2000/;;;;
КОМПРЕССОР  BERKUT  PRO-24;3 шт.;13,730.00р.;15,250.00р.;;;http://www.master12volt.ru/products/kompressory/2001/;;;;
КОМПРЕССОР   КАЧОК K-50 ;8 шт.;1,700.00р.;1,990.00р.;;;http://www.master12volt.ru/products/kachok/2002/;;;;
КОМПРЕССОР   КАЧОК K-50 LED;8 шт.;2,300.00р.;2,500.00р.;;;http://www.master12volt.ru/products/kompressory/435/;;;;
КОМПРЕССОР   КАЧОК K-90;8 шт.;2,450.00р.;2,800.00р.;;;http://www.master12volt.ru/products/kompressory/433/;;;;
КОМПРЕССОР   КАЧОК K-90 LED;8 шт.;2,600.00р.;2,950.00р.;;;http://www.master12volt.ru/products/kachok/2003/;;;;
CD/MP3/USB-ресиверы;;;;;;;;;;
SD/USB-ресиверы без дисковода с встроенным экраном;;;;;;;;;;
"SKYLOR AV-4100 1din 4,0""TFT  4x50, BT,USB, FLAC, MP3, MKV, WMA, JPEG";1 шт.;3,400.00р.;4,300.00р.;;;http://www.master12volt.ru/products/slylor/4538/;;;;
"SKYLOR AV-4300 1 din 4,0""TFT 4x50 BT, USB,FLAC, MP3, MKV, WMA, JPEG";1 шт.;3,500.00р.;4,400.00р.;;;http://www.master12volt.ru/products/avtozvuk/5204/;;;;
SD/USB-ресиверы без дисковода ;;;;;;;;;;
ALPINE UTE-92BT;6 шт.;16,250.00р.;19,700.00р.;;Изменение цены с 01 октября!!!;http://www.master12volt.ru/products/alpine/2585/;;;;
ALPINE UTE-201BT;6 шт.;7,150.00р.;8,390.00р.;;;http://www.master12volt.ru/products/alpine/4963/;;;;
AURA AMH-100W;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3732/;;;;
AURA AMH-100B;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3733/;;;;
AURA AMH-110R;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3734/;;;;
AURA AMH-110G;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3735/;;;;
AURA AMH-120G;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3736/;;;;
AURA AMH-120R;20 шт.;1,290.00р.;1,540.00р.;;На складе!!!;http://www.master12volt.ru/products/aura2/3737/;;;;
AURA AMH-210ВТ;20 шт.;1,690.00р.;1,990.00р.;;NEW поступление!!!;http://www.master12volt.ru/products/avtozvuk/5538/;;;;
AURA AMH-215ВТ;20 шт.;1,690.00р.;1,990.00р.;;NEW поступление!!!;http://www.master12volt.ru/products/avtozvuk/5539/;;;;
AURA AMH-220ВТ;20 шт.;1,690.00р.;1,990.00р.;;NEW поступление!!!;http://www.master12volt.ru/products/avtozvuk/5540/;;;;
AURA AMH-230ВТ съемная рамка ;20 шт.;1,850.00р.;2,180.00р.;;NEW поступление!!!;http://www.master12volt.ru/products/avtozvuk/5541/;;;;
AURA AMH-240WG  24V для грузового транспорта ;20 шт.;1,690.00р.;1,990.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5542/;;;;
AURA AMH-320ВТ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4964/;;;;
AURA AMH-324ВТ     24V для грузового транспорта ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4965/;;;;
AURA AMH-330ВТ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4966/;;;;
AURA AMH-340ВТ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4967/;;;;
AURA AMH-350ВТ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4968/;;;;
AURA AMH-360ВТ;20 шт.;1,890.00р.;2,290.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/4969/;;;;
AURA AMH-440ВТ;20 шт.;2,090.00р.;2,490.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5189/;;;;
AURA AMH-450ВТ;20 шт.;2,090.00р.;2,490.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5190/;;;;
AURA AMH-520ВТ;20 шт.;2,590.00р.;3,190.00р.;;Изменение цены с 01 ноября!!!;http://www.master12volt.ru/products/avtozvuk/5191/;;;;
AURA AMH-600ВТ;20 шт.;2,990.00р.;3,690.00р.;;Изменение цены с 01 ноября!!!;http://www.master12volt.ru/products/avtozvuk/5192/;;;;
AURA AMH-66DSP   ДЕКА ( БЕЗ ВСТРОЕННОГО УСИЛИТЕЛЯ), ПРОЦЕССОР, FLAC, USB/BT, 3 RCA, APP, RGB, SWC;10 шт.;3,790.00р.;4,790.00р.;;;http://www.master12volt.ru/products/avtozvuk/5312/;;;;
AURA AMH-77DSP  С ПРОЦЕССОРОМ!!!!!;10 шт.;4,390.00р.;5,490.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5083/;;;;
AURA AMH-77DSP BLACK EDITION(ЧЕРНЫЙ ЦВЕТ)  С ПРОЦЕССОРОМ!!!!!;10 шт.;4,990.00р.;6,190.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5154/;;;;
AURA AMH-78DSP  С ПРОЦЕССОРОМ!!!!!;10 шт.;4,390.00р.;5,490.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5240/;;;;
AURA AMH-88DSP  С ПРОЦЕССОРОМ!!!!!;10 шт.;5,690.00р.;6,990.00р.;;На складе!!!;http://www.master12volt.ru/products/avtozvuk/5193/;;;;
PROLOGY CMD-300 c ПРОЦЕССОРОМ!!!;10 шт.;4,400.00р.;5,090.00р.;;;http://www.master12volt.ru/products/avtozvuk/5175/;;;;
PROLOGY CMD-310 c ПРОЦЕССОРОМ!!!;10 шт.;4,440.00р.;5,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5458/;;;;
PROLOGY CMD-350 c ПРОЦЕССОРОМ!!!;10 шт.;5,250.00р.;5,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5525/;;;;
JBL CELEBRITY 100;10 шт.;3,390.00р.;3,990.00р.;;;http://www.master12volt.ru/products/avtomagnitoly/5484/;;;;
NAKAMICHI NQ511BG зеленая подсветка кнопок;10 шт.;2,600.00р.;3,050.00р.;;;http://www.master12volt.ru/products/avtozvuk/5319/;;;;
NAKAMICHI NQ511BR красная подсветка кнопок;10 шт.;2,600.00р.;3,050.00р.;;;http://www.master12volt.ru/products/avtozvuk/5320/;;;;
NAKAMICHI NQ511BW белая подсветка кнопок;10 шт.;2,600.00р.;3,050.00р.;;;http://www.master12volt.ru/products/avtozvuk/5321/;;;;
NAKAMICHI NQ615B трехцветная подсветка кнопок;10 шт.;2,930.00р.;3,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5322/;;;;
NAKAMICHI NQ616B трехцветная подсветка кнопок ;10 шт.;2,930.00р.;3,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5323/;;;;
NAKAMICHI NQ711B мультицветная подсветка кнопок;10 шт.;2,930.00р.;3,290.00р.;;Ожидается !!!;http://www.master12volt.ru/products/avtozvuk/5324/;;;;
PROLOGY GT-110 (красная подсветка кнопок Установленная версия Bluetooth® );20 шт.;2,125.00р.;2,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5526/;;;;
PROLOGY CMX-160 BT (красная подсветка кнопок Установленная версия Bluetooth® versia 4.2);10 шт.;2,190.00р.;2,490.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/4877/;;;;
PROLOGY CMX-165 BT (красная подсветка кнопок Установленная версия Bluetooth® versia 4.2);20 шт.;2,065.00р.;2,390.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/5515/;;;;
PROLOGY CMX-170 BT (зеленая подсветка кнопок Установленная версия Bluetooth® versia 4.2);10 шт.;2,190.00р.;2,490.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/4878/;;;;
PROLOGY CMX-175 BT (зеленая подсветка кнопок Установленная версия Bluetooth® versia 4.2);20 шт.;2,065.00р.;2,390.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/5516/;;;;
PROLOGY CMX-180 BT (белая  подсветка кнопок Установленная версия Bluetooth® versia 4.2);10 шт.;2,190.00р.;2,490.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/4879/;;;;
PROLOGY CMX-185 BT (белая  подсветка кнопок Установленная версия Bluetooth® versia 4.2);20 шт.;2,065.00р.;2,390.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/5517/;;;;
PROLOGY CMX-210 BT (мультицветная подсветка кнопок Установленная версия Bluetooth® versia 4.2);10 шт.;2,815.00р.;3,190.00р.;;Изменение цены с 04 октября!!!;http://www.master12volt.ru/products/avtozvuk/4880/;;;;
PROLOGY CMX-230 BT (мультицветная   подсветка кнопок Установленная версия Bluetooth® versia 4.2);10 шт.;2,400.00р.;2,890.00р.;;;http://www.master12volt.ru/products/avtozvuk/5176/;;;;
